NC_030599.1 Prunus pseudocerasus voucher PSEUDO20160226 chloroplast, complete genome
NC_031163.1 Malus prunifolia voucher MPRUN20160302 chloroplast, complete genome
NC_032038.1 Rosa roxburghii chloroplast, complete genome
NC_033975.1 Sorbus torminalis chloroplast, complete genome
NW_018921533.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000293.1, whole genome shotgun sequence
NW_018921532.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000292.1, whole genome shotgun sequence
NW_018921531.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000291.1, whole genome shotgun sequence
NW_018921521.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000281.1, whole genome shotgun sequence
NW_018921520.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000280.1, whole genome shotgun sequence
NW_018921515.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000275.1, whole genome shotgun sequence
NW_018921514.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000274.1, whole genome shotgun sequence
NW_018921511.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000271.1, whole genome shotgun sequence
NW_018921510.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000270.1, whole genome shotgun sequence
NW_018921506.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000266.1, whole genome shotgun sequence
NW_018921504.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000264.1, whole genome shotgun sequence
NW_018921501.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000261.1, whole genome shotgun sequence
NW_018921498.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000258.1, whole genome shotgun sequence
NW_018921497.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000257.1, whole genome shotgun sequence
NW_018921496.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000256.1, whole genome shotgun sequence
NW_018921491.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000251.1, whole genome shotgun sequence
NW_018921488.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000248.1, whole genome shotgun sequence
NW_018921486.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000246.1, whole genome shotgun sequence
NW_018921484.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000244.1, whole genome shotgun sequence
NW_018921483.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000243.1, whole genome shotgun sequence
NW_018921482.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000242.1, whole genome shotgun sequence
NW_018921480.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000240.1, whole genome shotgun sequence
NW_018921477.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000237.1, whole genome shotgun sequence
NW_018921473.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000233.1, whole genome shotgun sequence
NW_018921472.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000232.1, whole genome shotgun sequence
NW_018921470.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000230.1, whole genome shotgun sequence
NW_018921469.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000229.1, whole genome shotgun sequence
NW_018921467.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000227.1, whole genome shotgun sequence
NW_018921465.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000225.1, whole genome shotgun sequence
NW_018921464.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000224.1, whole genome shotgun sequence
NW_018921463.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000223.1, whole genome shotgun sequence
NW_018921462.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000222.1, whole genome shotgun sequence
NW_018921460.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000220.1, whole genome shotgun sequence
NW_018921457.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000217.1, whole genome shotgun sequence
NW_018921454.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000214.1, whole genome shotgun sequence
NW_018921451.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000211.1, whole genome shotgun sequence
NW_018921449.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000209.1, whole genome shotgun sequence
NW_018921447.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000207.1, whole genome shotgun sequence
NW_018921446.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000206.1, whole genome shotgun sequence
NW_018921445.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000205.1, whole genome shotgun sequence
NW_018921441.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000201.1, whole genome shotgun sequence
NW_018921439.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000199.1, whole genome shotgun sequence
NW_018921437.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000197.1, whole genome shotgun sequence
NW_018921432.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000192.1, whole genome shotgun sequence
NW_018921431.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000191.1, whole genome shotgun sequence
NW_018921430.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000190.1, whole genome shotgun sequence
NW_018921429.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000189.1, whole genome shotgun sequence
NW_018921428.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000188.1, whole genome shotgun sequence
NW_018921427.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000187.1, whole genome shotgun sequence
NW_018921423.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000183.1, whole genome shotgun sequence
NW_018921422.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000182.1, whole genome shotgun sequence
NW_018921420.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000180.1, whole genome shotgun sequence
NW_018921419.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000179.1, whole genome shotgun sequence
NW_018921418.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000178.1, whole genome shotgun sequence
NW_018921416.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000176.1, whole genome shotgun sequence
NW_018921414.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000174.1, whole genome shotgun sequence
NW_018921413.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000173.1, whole genome shotgun sequence
NW_018921409.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000169.1, whole genome shotgun sequence
NW_018921408.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000168.1, whole genome shotgun sequence
NW_018921405.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000165.1, whole genome shotgun sequence
NW_018921403.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000163.1, whole genome shotgun sequence
NW_018921402.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000162.1, whole genome shotgun sequence
NW_018921401.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000161.1, whole genome shotgun sequence
NW_018921400.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000160.1, whole genome shotgun sequence
NW_018921396.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000156.1, whole genome shotgun sequence
NW_018921394.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000154.1, whole genome shotgun sequence
NW_018921393.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000153.1, whole genome shotgun sequence
NW_018921392.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000152.1, whole genome shotgun sequence
NW_018921388.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000148.1, whole genome shotgun sequence
NW_018921386.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000146.1, whole genome shotgun sequence
NW_018921384.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000144.1, whole genome shotgun sequence
NW_018921383.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000143.1, whole genome shotgun sequence
NW_018921382.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000142.1, whole genome shotgun sequence
NW_018921379.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000139.1, whole genome shotgun sequence
NW_018921378.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000138.1, whole genome shotgun sequence
NW_018921377.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000137.1, whole genome shotgun sequence
NW_018921375.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000135.1, whole genome shotgun sequence
NW_018921372.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000132.1, whole genome shotgun sequence
NW_018921371.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000131.1, whole genome shotgun sequence
NW_018921369.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000129.1, whole genome shotgun sequence
NW_018921367.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000127.1, whole genome shotgun sequence
NW_018921366.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000126.1, whole genome shotgun sequence
NW_018921362.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000122.1, whole genome shotgun sequence
NW_018921361.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000121.1, whole genome shotgun sequence
NW_018921360.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000120.1, whole genome shotgun sequence
NW_018921359.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000119.1, whole genome shotgun sequence
NW_018921356.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000116.1, whole genome shotgun sequence
NW_018921355.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000115.1, whole genome shotgun sequence
NW_018921354.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000114.1, whole genome shotgun sequence
NW_018921353.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000113.1, whole genome shotgun sequence
NW_018921352.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000112.1, whole genome shotgun sequence
NW_018921350.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000110.1, whole genome shotgun sequence
NW_018921349.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000109.1, whole genome shotgun sequence
NW_018921346.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000106.1, whole genome shotgun sequence
NW_018921345.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000105.1, whole genome shotgun sequence
NW_018921340.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000100.1, whole genome shotgun sequence
NW_018921339.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000099.1, whole genome shotgun sequence
NW_018921338.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000098.1, whole genome shotgun sequence
NW_018921337.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000097.1, whole genome shotgun sequence
NW_018921336.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000096.1, whole genome shotgun sequence
NW_018921335.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000095.1, whole genome shotgun sequence
NW_018921334.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000094.1, whole genome shotgun sequence
NW_018921333.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000093.1, whole genome shotgun sequence
NW_018921332.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000092.1, whole genome shotgun sequence
NW_018921331.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000091.1, whole genome shotgun sequence
NW_018921330.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000090.1, whole genome shotgun sequence
NW_018921329.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000089.1, whole genome shotgun sequence
NW_018921328.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000088.1, whole genome shotgun sequence
NW_018921325.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000085.1, whole genome shotgun sequence
NW_018921324.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000084.1, whole genome shotgun sequence
NW_018921323.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000083.1, whole genome shotgun sequence
NW_018921322.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000082.1, whole genome shotgun sequence
NW_018921320.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000080.1, whole genome shotgun sequence
NW_018921318.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000078.1, whole genome shotgun sequence
NW_018921316.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000076.1, whole genome shotgun sequence
NW_018921315.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000075.1, whole genome shotgun sequence
NW_018921314.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000074.1, whole genome shotgun sequence
NW_018921313.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000073.1, whole genome shotgun sequence
NW_018921311.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000071.1, whole genome shotgun sequence
NW_018921310.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000070.1, whole genome shotgun sequence
NW_018921309.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000069.1, whole genome shotgun sequence
NW_018921307.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000067.1, whole genome shotgun sequence
NW_018921306.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000066.1, whole genome shotgun sequence
NW_018921305.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000065.1, whole genome shotgun sequence
NW_018921303.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000063.1, whole genome shotgun sequence
NW_018921301.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000061.1, whole genome shotgun sequence
NW_018921299.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000059.1, whole genome shotgun sequence
NW_018921297.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000057.1, whole genome shotgun sequence
NW_018921296.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000056.1, whole genome shotgun sequence
NW_018921295.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000055.1, whole genome shotgun sequence
NW_018921293.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000053.1, whole genome shotgun sequence
NW_018921292.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000052.1, whole genome shotgun sequence
NW_018921289.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000049.1, whole genome shotgun sequence
NW_018921288.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000048.1, whole genome shotgun sequence
NW_018921286.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000046.1, whole genome shotgun sequence
NW_018921285.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000045.1, whole genome shotgun sequence
NW_018921282.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000042.1, whole genome shotgun sequence
NW_018921281.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000041.1, whole genome shotgun sequence
NW_018921280.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000040.1, whole genome shotgun sequence
NW_018921279.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000039.1, whole genome shotgun sequence
NW_018921278.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000038.1, whole genome shotgun sequence
NW_018921277.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000037.1, whole genome shotgun sequence
NW_018921276.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000036.1, whole genome shotgun sequence
NW_018921275.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000035.1, whole genome shotgun sequence
NW_018921274.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000034.1, whole genome shotgun sequence
NW_018921273.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000033.1, whole genome shotgun sequence
NW_018921272.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000032.1, whole genome shotgun sequence
NW_018921271.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000031.1, whole genome shotgun sequence
NW_018921270.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000030.1, whole genome shotgun sequence
NW_018921268.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000028.1, whole genome shotgun sequence
NW_018921267.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000027.1, whole genome shotgun sequence
NW_018921266.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000026.1, whole genome shotgun sequence
NW_018921265.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000025.1, whole genome shotgun sequence
NW_018921264.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000024.1, whole genome shotgun sequence
NW_018921263.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000023.1, whole genome shotgun sequence
NW_018921262.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000022.1, whole genome shotgun sequence
NW_018921261.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000021.1, whole genome shotgun sequence
NW_018921260.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000020.1, whole genome shotgun sequence
NW_018921259.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000019.1, whole genome shotgun sequence
NW_018921255.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000015.1, whole genome shotgun sequence
NW_018921253.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000013.1, whole genome shotgun sequence
NW_018921251.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000011.1, whole genome shotgun sequence
NW_018921250.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000010.1, whole genome shotgun sequence
NW_018921247.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000007.1, whole genome shotgun sequence
NW_018921246.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000006.1, whole genome shotgun sequence
NW_018921245.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000005.1, whole genome shotgun sequence
NW_018921244.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000004.1, whole genome shotgun sequence
NW_018921243.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000003.1, whole genome shotgun sequence
NW_018921242.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01000002.1, whole genome shotgun sequence
NC_035500.1 Fragaria nipponica chloroplast, complete genome
NC_035501.1 Fragaria orientalis chloroplast, complete genome
NC_035566.1 Chaenomeles japonica chloroplast, complete genome
NC_035625.1 Malus florentina chloroplast, complete genome
NC_035671.1 Malus trilobata chloroplast, complete genome
NC_035672.1 Malus tschonoskii isolate 262 chloroplast, complete genome
NC_035880.1 Prunus humilis chloroplast, complete genome
NC_035891.1 Prunus cerasoides chloroplast, complete genome
NC_035961.1 Fragaria x ananassa cultivar Benihoppe chloroplast, complete genome
NC_036133.1 Prunus serotina chloroplast, complete genome
NC_036368.1 Malus micromalus chloroplast, complete genome
NC_036394.1 Prunus tomentosa plastid, complete genome
NC_036423.1 Dasiphora fruticosa voucher JLM20170727 chloroplast, complete genome
NC_037022.1 Sorbus ulleungensis plastid, complete genome
NW_020126851.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c44, whole genome shotgun sequence
NW_020126850.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c41, whole genome shotgun sequence
NW_020126849.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c40, whole genome shotgun sequence
NW_020126848.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c39, whole genome shotgun sequence
NW_020126847.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c38, whole genome shotgun sequence
NW_020126846.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c37, whole genome shotgun sequence
NW_020126845.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c36, whole genome shotgun sequence
NW_020126844.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c34, whole genome shotgun sequence
NW_020126843.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c32, whole genome shotgun sequence
NW_020126842.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c31, whole genome shotgun sequence
NW_020126841.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c30, whole genome shotgun sequence
NW_020126840.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c29, whole genome shotgun sequence
NW_020126839.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c28, whole genome shotgun sequence
NW_020126838.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c25, whole genome shotgun sequence
NW_020126837.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c24, whole genome shotgun sequence
NW_020126836.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c23, whole genome shotgun sequence
NW_020126835.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c22, whole genome shotgun sequence
NW_020126834.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c21, whole genome shotgun sequence
NW_020126833.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c20, whole genome shotgun sequence
NW_020126832.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c19, whole genome shotgun sequence
NW_020126831.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c18, whole genome shotgun sequence
NW_020126830.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c17, whole genome shotgun sequence
NW_020126829.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c16, whole genome shotgun sequence
NW_020126828.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c15, whole genome shotgun sequence
NW_020126827.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c13, whole genome shotgun sequence
NW_020126826.1 Rosa chinensis cultivar Old Blush unplaced genomic scaffold, RchiOBHm-V2 RchiOBHmChr0c12, whole genome shotgun sequence
